COMMON_NAME_ebird,SCIENTIFIC_NAME_ebird,COMMON_NAME_traits,SCIENTIFIC_NAME_traits,SCIENTIFIC_NAME_tree,COMMON_NAME_tree
Superb Fairywren,Malurus cyaneus,Superb Fairy-wren,Malurus_cyaneus,Malurus cyaneus,Superb Fairywren
Welcome Swallow,Hirundo neoxena,Welcome Swallow,Hirundo_neoxena,Hirundo neoxena,Welcome Swallow
White-bellied Cuckooshrike,Coracina papuensis,White-bellied Cuckoo-shrike,Coracina_papuensis,Coracina papuensis,White-bellied Cuckooshrike
White-naped Honeyeater,Melithreptus lunatus,White-naped Honeyeater,Melithreptus_lunatus,Melithreptus lunatus,White-naped Honeyeater
White-winged Chough,Corcorax melanorhamphos,White-winged Chough,Corcorax_melanorhamphos,Corcorax melanorhamphos,White-winged Chough
Willie-wagtail,Rhipidura leucophrys,Willie Wagtail,Rhipidura_leucophrys,Rhipidura leucophrys,Willie-wagtail
Yellow-rumped Thornbill,Acanthiza chrysorrhoa,Yellow-rumped Thornbill,Acanthiza_chrysorrhoa,Acanthiza chrysorrhoa,Yellow-rumped Thornbill
Yellow-tufted Honeyeater,Lichenostomus melanops,Yellow-tufted Honeyeater,Lichenostomus_melanops,Lichenostomus melanops,Yellow-tufted Honeyeater
Zebra Finch,Taeniopygia guttata,Zebra Finch,Taeniopygia_guttata,Taeniopygia guttata,Zebra Finch
Great Cormorant,Phalacrocorax carbo,Great Cormorant,Phalacrocorax_carbo,Phalacrocorax carbo,Great Cormorant
Sooty Oystercatcher,Haematopus fuliginosus,Sooty Oystercatcher,Haematopus_fuliginosus,Haematopus fuliginosus,Sooty Oystercatcher
Golden Whistler,Pachycephala pectoralis,Golden Whistler,Pachycephala_pectoralis,Pachycephala pectoralis,Golden Whistler
